id,name,capacity,room_type,department,equipment,is_smart_room,is_ac,has_projector,weekly_maintenance
C101,C101,70,smart_classroom,CSE,[],True,True,True,[]
C102,C102,70,smart_classroom,CSE,[],True,True,True,[]
C103,C103,70,lecture,CSE,[],False,True,True,[]
C104,C104,70,lecture,CSE,[],False,True,True,[]
CAB101,CAB101,60,lecture,CSE,[],False,True,True,[]
CAB102,CAB102,60,lecture,CSE,[],False,True,True,[]
CAB103,CAB103,60,lecture,CSE,[],False,True,True,[]
B101,B101,60,lecture,CSE,[],False,True,True,[]
B102,B102,60,lecture,CSE,[],False,True,True,[]
B103,B103,60,lecture,CSE,[],False,True,True,[]
B104,B104,60,lecture,CSE,[],False,True,True,[]
LAB-G01,Computer Lab 1,40,computer_lab,CSE,[],False,True,True,[]
LAB-G02,Computer Lab 2,40,computer_lab,CSE,[],False,True,True,[]
LAB-G03,Computer Lab 3,40,computer_lab,CSE,[],False,True,True,[]
LAB-G04,Computer Lab 4,40,computer_lab,CSE,[],False,True,True,[]
LAB-G05,Computer Lab 5,40,computer_lab,CSE,[],False,True,True,[]
LAB-G06,Computer Lab 6,40,computer_lab,CSE,[],False,True,True,[]
LAB-G07,Hardware Lab,30,lab,CSE,[],False,True,True,[]
LAB-G08,Project Lab,30,lab,CSE,[],False,True,True,[]
C201,C201,70,smart_classroom,CSE,[],True,True,True,[]
C202,C202,70,smart_classroom,CSE,[],True,True,True,[]
C203,C203,70,lecture,CSE,[],False,True,True,[]
C204,C204,70,lecture,CSE,[],False,True,True,[]
CAB201,CAB201,60,lecture,CSE,[],False,True,True,[]
CAB202,CAB202,60,lecture,CSE,[],False,True,True,[]
CAB203,CAB203,60,lecture,CSE,[],False,True,True,[]
B201,B201,60,lecture,CSE,[],False,True,True,[]
B202,B202,60,lecture,CSE,[],False,True,True,[]
B203,B203,60,lecture,CSE,[],False,True,True,[]
B204,B204,60,lecture,CSE,[],False,True,True,[]
C301,C301,70,smart_classroom,CSE,[],True,True,True,[]
C302,C302,70,smart_classroom,CSE,[],True,True,True,[]
C303,C303,70,lecture,CSE,[],False,True,True,[]
C304,C304,70,lecture,CSE,[],False,True,True,[]
CAB301,CAB301,60,lecture,CSE,[],False,True,True,[]
CAB302,CAB302,60,lecture,CSE,[],False,True,True,[]
CAB303,CAB303,60,lecture,CSE,[],False,True,True,[]
B301,B301,60,lecture,CSE,[],False,True,True,[]
B302,B302,60,lecture,CSE,[],False,True,True,[]
B303,B303,60,lecture,CSE,[],False,True,True,[]
B304,B304,60,lecture,CSE,[],False,True,True,[]
SEM-301,Seminar Hall A,150,seminar,CSE,[],False,True,True,[]
C401,C401,70,smart_classroom,CSE,[],True,True,True,[]
C402,C402,70,lecture,CSE,[],False,True,True,[]
C403,C403,70,lecture,CSE,[],False,True,True,[]
C404,C404,70,lecture,CSE,[],False,True,True,[]
CAB401,CAB401,60,lecture,CSE,[],False,True,True,[]
CAB402,CAB402,60,lecture,CSE,[],False,True,True,[]
CAB403,CAB403,60,lecture,CSE,[],False,True,True,[]
B401,B401,60,lecture,CSE,[],False,True,True,[]
B402,B402,60,lecture,CSE,[],False,True,True,[]
B403,B403,60,lecture,CSE,[],False,True,True,[]
B404,B404,60,lecture,CSE,[],False,True,True,[]
SEM-401,Seminar Hall B,120,seminar,CSE,[],False,True,True,[]
IOT-LAB-401,IoT Laboratory,35,lab,CSE,[],False,True,True,[]
LAB-401,AI/ML Lab,40,computer_lab,CSE,[],False,True,True,[]
