name,code,credits,course_type,hours_per_week,department,semester,faculty_serial_number
Deep Learning,B23AM3101,3.0,core,3.0,AIML,5,1
Computer Networks,B23AM3102,3.0,core,3.0,AIML,5,3
Natural Language Processing,B23AM3103,3.0,core,3.0,AIML,5,2
Professional Elective-I,#PE-I,3.0,elective,3.0,GENERAL,5,5
Open Elective-I,#OE-I,3.0,elective,3.0,GENERAL,5,6
Deep Learning Lab,B23AM3110,0.0,core,3.0,AIML,5,1
Natural Language Processing Lab,B23AM3111,0.0,skill_enhancement,3.0,AIML,5,2
Full Stack Development -2,B23AM3112,0.0,core,3.0,AIML,5,4
Tinkering Lab (UI Design using Flutter),B23AM3113,0.0,skill_enhancement,3.0,AIML,5,4
Evaluation of Community Service Internship,B23AM3114,1.5,project,3.0,AIML,5,8
Employability Skills,B23MC3101,0.0,core,3.0,GENERAL,5,8
Advanced Algorithms,B23AM31H1,4.0,honors,4.0,AIML,5,5
Reinforcement Learning,B23AM31H2,4.0,honors,4.0,AIML,5,7
Computer Vision,B23AM31H3,4.0,honors,4.0,AIML,5,9
Introduction to Financial Analysis,B23MG31M1,3.0,minor,3.0,Management,5,6
Introduction to IoT,B23EC31M2,3.0,minor,3.0,ECE,5,3
Data Analytics and Visualization,B23DS31M3,3.0,minor,3.0,Data Science,5,7
UI/UX Fundamentals,B23ID31M4,3.0,minor,3.0,Design,5,4
